Sensitivity,Result,URL
1Base_Wx-Years_EQ_,"System Marginal Price for Denmark (East)",https://epsi.genscape.com/epsa/sensitivity/3416/results/5/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
1Base_Wx-Years_EQ_,"Unserved energy for Switzerland",https://epsi.genscape.com/epsa/sensitivity/3416/results/391/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
1Base_Wx-Years_EQ_,"Generation for Austria, Hydro-RoR",https://epsi.genscape.com/epsa/sensitivity/3416/results/21/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
1Base_Wx-Years_EQ_,"Generation for Denmark (East), GT",https://epsi.genscape.com/epsa/sensitivity/3416/results/288/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
1Base_Wx-Years_EQ_,"Fuel price (original units) for Spain, Lignite",https://epsi.genscape.com/epsa/sensitivity/3416/results/193/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
1Base_Wx-Years_EQ_,"Net exports for Spain",https://epsi.genscape.com/epsa/sensitivity/3416/results/119/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
1Base_Wx-Years_EQ_,"Generation for Czech Republic, Hydro-RoR",https://epsi.genscape.com/epsa/sensitivity/3416/results/324/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
1Base_Wx-Years_EQ_,"Generation for NL-IJmond",https://epsi.genscape.com/epsa/sensitivity/3416/results/180/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
1Base_Wx-Years_EQ_,"Capacity available for Great Britain, GT",https://epsi.genscape.com/epsa/sensitivity/3416/results/244/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
1Base_Wx-Years_EQ_,"Generation for DE-Nossener Brucke # 2",https://epsi.genscape.com/epsa/sensitivity/3416/results/162/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
1Base_Wx-Years_EQ_,"Generation for Netherlands, CCGT",https://epsi.genscape.com/epsa/sensitivity/3416/results/351/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
1Base_Wx-Years_EQ_,"Line capacity (forward) for France - Great Britain",https://epsi.genscape.com/epsa/sensitivity/3416/results/246/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
1Base_Wx-Years_EQ_,"Capacity available for Great Britain, ST-Nuclear",https://epsi.genscape.com/epsa/sensitivity/3416/results/240/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
1Base_Wx-Years_EQ_,"Generation for Denmark (West), ST-Gas",https://epsi.genscape.com/epsa/sensitivity/3416/results/74/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
1Base_Wx-Years_EQ_,"Generation for Spain, Wind",https://epsi.genscape.com/epsa/sensitivity/3416/results/334/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
1Base_Wx-Years_EQ_,"Generation for France, Wind",https://epsi.genscape.com/epsa/sensitivity/3416/results/61/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
1Base_Wx-Years_EQ_,"Capacity available for France, ST-Waste",https://epsi.genscape.com/epsa/sensitivity/3416/results/230/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
1Base_Wx-Years_EQ_,"Generation for Great Britain, ST-Coal",https://epsi.genscape.com/epsa/sensitivity/3416/results/299/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
1Base_Wx-Years_EQ_,"Net exports for France",https://epsi.genscape.com/epsa/sensitivity/3416/results/115/xml?filter_id=&resolution=hourly&account=101&password=YOUR_PASSWORD
